pair,ligand,n_configurations,delta_E_min,delta_E_max,delta_E_mean,delta_E_median
Ag-Cr,S,1,-0.060173778380712,-0.060173778380712,-0.060173778380712,-0.060173778380712
Ag-Mn,O,7,-0.315894335438202,-0.0036573928162635,-0.07989811220968905,-0.0076859147600579
Ag-Nb,O,2,-0.0614078124474974,-0.0600014036844241,-0.06070460806596075,-0.06070460806596075
Ag-Rh,S,1,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084,-0.2131169344460084
Ag-V,O,3,-0.0859675241685584,-0.0635192948890931,-0.07656409192096016,-0.080205456705229
Ag-Y,O,3,-0.1376075737936784,-0.0715122487933031,-0.10450253621863827,-0.1043877860689333
Au-Ta,S,1,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504
Cd-Co,O,3,-0.0963921453643815,-0.0941303284724344,-0.09537769577365253,-0.0956106134841417
Cd-Cr,O,1,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896,-0.0208637008601896
Cd-Fe,O,6,-0.1911398676819544,-0.0016105051752098,-0.06224324271104734,-0.04495294507465535
Cd-Mn,O,14,-0.2906985595121067,-0.026522907044545,-0.12321692264622033,-0.10959266210993965
Cd-Mn,S,2,-0.0411331133812255,-0.0027250559824896,-0.02192908468185755,-0.02192908468185755
Cd-Nb,O,1,-0.1274741536498836,-0.1274741536498836,-0.1274741536498836,-0.1274741536498836
Cd-Nb,S,1,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126
Cd-Ni,O,1,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438,-0.0121576387402438
Cd-Pd,O,1,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175,-0.0615360064387175
Cd-Tc,O,1,-0.0592515502655428,-0.0592515502655428,-0.0592515502655428,-0.0592515502655428
Cd-Ti,O,2,-0.0101620706826731,-0.0055907120155064,-0.00787639134908975,-0.00787639134908975
Cd-V,O,2,-0.0714144770558412,-0.0691745413869611,-0.07029450922140115,-0.07029450922140115
Cd-Zr,O,1,-0.0813086507889681,-0.0813086507889681,-0.0813086507889681,-0.0813086507889681
Co-Cr,O,5,-0.0576742606668846,-0.0063119143209073,-0.01918687574961158,-0.01054477425141
Co-Cu,O,8,-0.2392624957674635,-0.0848997289091379,-0.12427751659298533,-0.09353719932247351
Co-Fe,O,25,-0.2411665499806341,-0.0037843479158151,-0.06007501114647493,-0.0250899317259954
Co-Hf,O,1,-0.0607549528056381,-0.0607549528056381,-0.0607549528056381,-0.0607549528056381
Co-Mn,O,29,-0.1565396751827254,-0.0061611108533615,-0.05197678165073134,-0.038358346571456
Co-Mn,S,2,-0.0219550877671736,-0.0164012574799051,-0.019178172623539352,-0.019178172623539352
Co-Mo,O,2,-0.087528060293739,-0.022428046512443,-0.054978053403091,-0.054978053403091
Co-Nb,O,6,-0.0702622591725086,-0.0665758439949456,-0.0683518319957128,-0.06815555195108916
Co-Nb,S,4,-0.1271699041378486,-0.0816072052808933,-0.10741822172198942,-0.1104478887346079
Co-Ni,O,12,-0.131213361331175,-0.0165657527579011,-0.05735368996009418,-0.059687618365603
Co-Ni,S,2,-0.070761451423057,-0.010764155572991,-0.040762803498024,-0.040762803498024
Co-Rh,O,1,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196,-0.0051857983706196
Co-Rh,S,1,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069,-0.0578836342060069
Co-Ru,O,6,-0.2879931942107602,-0.0928025195507047,-0.17438123580525108,-0.16754489766817432
Co-Sc,O,2,-0.094546951789356,-0.0871530705922974,-0.0908500111908267,-0.0908500111908267
Co-Ta,O,3,-0.1198146512849112,-0.0617403585878352,-0.09889405936032424,-0.1151271682082263
Co-Ta,S,2,-0.22959019376602,-0.1131353079619921,-0.17136275086400604,-0.17136275086400604
Co-Tc,O,1,-0.0678663333907524,-0.0678663333907524,-0.0678663333907524,-0.0678663333907524
Co-Ti,O,7,-0.5019698615955894,-0.0698973583775406,-0.15703880378174911,-0.1182618170016016
Co-Ti,S,1,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072
Co-V,O,7,-0.2042722904694919,-0.0027142070336388,-0.06749240183976064,-0.0594651812804498
Co-Y,O,8,-0.1514307924963885,-0.0748599572382479,-0.11010915977059757,-0.11786826619763925
Co-Zn,O,24,-0.2116823229251362,-0.0387659467885639,-0.1149346840919621,-0.12141659123687246
Co-Zr,O,3,-0.5120746412862286,-0.0705078201572078,-0.24599014244986184,-0.1553879659061491
Cr-Cu,O,5,-0.0682576356209806,-0.0218796698687194,-0.04064997907180832,-0.0227294340950522
Cr-Fe,O,30,-0.2116707753270854,-0.0056422022339069,-0.11054157585431616,-0.11820131418673516
Cr-Fe,S,1,-0.1074699567658444,-0.1074699567658444,-0.1074699567658444,-0.1074699567658444
Cr-Hf,O,1,-0.0605584261793253,-0.0605584261793253,-0.0605584261793253,-0.0605584261793253
Cr-Mn,O,30,-0.3170669570586604,-0.0209408772193478,-0.09834576234206052,-0.069588800961698
Cr-Mn,S,1,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136
Cr-Mo,O,2,-0.1255972725962765,-0.011117146431011,-0.06835720951364375,-0.06835720951364375
Cr-Nb,S,2,-0.1034012614211289,-0.0818395781431433,-0.0926204197821361,-0.0926204197821361
Cr-Ni,O,1,-0.0647044026762287,-0.0647044026762287,-0.0647044026762287,-0.0647044026762287
Cr-Ni,S,2,-0.0800082375253229,-0.0712918758555668,-0.07565005669044486,-0.07565005669044486
Cr-Sc,O,1,-0.1234714790702177,-0.1234714790702177,-0.1234714790702177,-0.1234714790702177
Cr-Tc,O,1,-0.01521594828682,-0.01521594828682,-0.01521594828682,-0.01521594828682
Cr-Ti,O,6,-0.1019359369088299,-0.0052286476163914,-0.06419831538139154,-0.06678686439923551
Cr-Ti,S,1,-0.0096554737659261,-0.0096554737659261,-0.0096554737659261,-0.0096554737659261
Cr-V,O,22,-0.1011910172856162,-0.0109025314474572,-0.0774182915376144,-0.07745985366051719
Cr-V,S,4,-0.097098187370319,-0.0049205257513253,-0.04992445419386107,-0.0488395518269
Cr-Y,O,12,-0.269368947980449,-0.058876223382489,-0.13155390159755612,-0.11058488852741
Cr-Y,S,2,-0.2192342635108729,-0.172547117142033,-0.19589069032645295,-0.19589069032645295
Cr-Zn,O,19,-0.1632745574444543,-0.0074796160896936,-0.0829473511687915,-0.0908335731564329
Cr-Zr,O,1,-0.0070968669439945,-0.0070968669439945,-0.0070968669439945,-0.0070968669439945
Cu-Fe,O,12,-0.1226545211031271,-0.011565818738085,-0.05563685606027293,-0.0591618483122432
Cu-Mn,O,25,-0.266180578806617,-0.0034206100933885,-0.09261964334905146,-0.0440891887277282
Cu-Nb,O,2,-0.1101379469421615,-0.0725732893128205,-0.091355618127491,-0.091355618127491
Cu-Nb,S,5,-0.3036173486410566,-0.0727886254517239,-0.13001653290923887,-0.0935265457738414
Cu-Ni,O,6,-0.2105306587143033,-0.058282007345987,-0.12928578244601965,-0.1306501464012777
Cu-Pd,S,1,-0.1543913083956805,-0.1543913083956805,-0.1543913083956805,-0.1543913083956805
Cu-Sc,O,4,-0.1893309551099402,-0.0658855062009696,-0.1319340740577495,-0.13625991746004415
Cu-Ta,S,2,-0.1491203973828143,-0.0835141007098651,-0.1163172490463397,-0.1163172490463397
Cu-Ti,O,3,-0.436577353302924,-0.3956122437604805,-0.4205966464358743,-0.4296003422442184
Cu-Ti,S,5,-0.3193036842542144,-0.0746548354496839,-0.14340824115770773,-0.1167392609820659
Cu-V,O,9,-0.2212687401050553,-0.0578056112861124,-0.10516433221967883,-0.0854676178482357
Cu-V,S,1,-0.0645274133348542,-0.0645274133348542,-0.0645274133348542,-0.0645274133348542
Cu-Y,O,10,-0.2044839499599706,-0.0770715588731097,-0.13292373833972557,-0.13404744334997534
Cu-Y,S,1,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662
Fe-Hf,O,1,-0.0180207291971075,-0.0180207291971075,-0.0180207291971075,-0.0180207291971075
Fe-Mn,O,46,-0.3220387144193555,-0.001249345968293,-0.10036944857506619,-0.07604685438002065
Fe-Mn,S,2,-0.0244803560012959,-0.0113269230069642,-0.01790363950413005,-0.01790363950413005
Fe-Nb,S,4,-0.1175487781213058,-0.071928549349794,-0.08942335816925595,-0.084108052602962
Fe-Ni,O,15,-0.2260108003808495,-0.0178517049771584,-0.12205619621100183,-0.1414824902017941
Fe-Ni,S,5,-0.3277943305434015,-0.0278240636758687,-0.1460327564090103,-0.1268518117517189
Fe-Rh,O,1,-0.0127568841336949,-0.0127568841336949,-0.0127568841336949,-0.0127568841336949
Fe-Sc,O,4,-0.1084303764131949,-0.0039595218433226,-0.0715533978502216,-0.08691184657218445
Fe-Sc,S,1,-0.2008001756728555,-0.2008001756728555,-0.2008001756728555,-0.2008001756728555
Fe-Ta,S,2,-0.2011962944092067,-0.1048072177553554,-0.15300175608228106,-0.15300175608228106
Fe-Ti,O,47,-0.5027603407092435,-0.0003165432180874,-0.11417333040357486,-0.0934212139917121
Fe-Ti,S,1,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368,-0.0553530618622368
Fe-V,O,10,-0.1190023270476052,-0.0068468133448157,-0.057146541439521206,-0.06044767454463765
Fe-V,S,1,-0.0811904316851975,-0.0811904316851975,-0.0811904316851975,-0.0811904316851975
Fe-Y,O,16,-0.3939728826567863,-0.009643855978874,-0.0833272719874749,-0.04066279207396075
Fe-Zn,O,41,-0.3062771089390109,-0.0023102320933117,-0.09912649642456905,-0.0835739218855749
Fe-Zr,O,1,-0.1684929698614413,-0.1684929698614413,-0.1684929698614413,-0.1684929698614413
Fe-Zr,S,1,-0.5264480911261191,-0.5264480911261191,-0.5264480911261191,-0.5264480911261191
Hf-Mn,O,1,-0.0684779971930928,-0.0684779971930928,-0.0684779971930928,-0.0684779971930928
Hf-Mo,O,1,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088
Hf-Mo,S,2,-0.4326762686599343,-0.4154520314460397,-0.42406415005298703,-0.42406415005298703
Hf-Ni,O,1,-0.0683419615020236,-0.0683419615020236,-0.0683419615020236,-0.0683419615020236
Hf-Re,O,1,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261
Hf-Re,S,2,-0.6453948569173479,-0.3443619697908929,-0.4948784133541204,-0.4948784133541204
Hf-Sc,O,3,-0.4066038791663773,-0.1518623240633223,-0.2666985178105457,-0.2416293502019375
Hf-Ti,O,1,-0.0664943000051836,-0.0664943000051836,-0.0664943000051836,-0.0664943000051836
Hf-V,S,1,-0.4221111910890559,-0.4221111910890559,-0.4221111910890559,-0.4221111910890559
Hf-W,O,1,-0.337457877800983,-0.337457877800983,-0.337457877800983,-0.337457877800983
Hf-W,S,1,-0.3212614097832339,-0.3212614097832339,-0.3212614097832339,-0.3212614097832339
Hf-Y,O,7,-0.1503718604365533,-0.071159980746886,-0.11700274027551034,-0.1440403583757137
Hf-Y,S,1,-0.1141720369064939,-0.1141720369064939,-0.1141720369064939,-0.1141720369064939
Hf-Zr,O,2,-0.3979379009292224,-0.090110416933458,-0.2440241589313402,-0.2440241589313402
Hg-Mn,O,1,-0.016828365974141,-0.016828365974141,-0.016828365974141,-0.016828365974141
Hg-Y,O,2,-0.1037741008874613,-0.0616763197386488,-0.08272521031305505,-0.08272521031305505
Ir-Nb,S,4,-0.1682599068354937,-0.0880957604013328,-0.13792377238654668,-0.14766971115468014
Ir-Y,O,1,-0.0657705862383914,-0.0657705862383914,-0.0657705862383914,-0.0657705862383914
Mn-Nb,O,7,-0.288855134739378,-0.0025152202465023,-0.12676159709152784,-0.111817030081357
Mn-Nb,S,4,-0.1017802464092388,-0.0746660644097606,-0.09259495856418468,-0.09696676171886964
Mn-Ni,O,25,-0.6350591431579156,-0.0138991671957283,-0.11291682540896232,-0.061366797260222
Mn-Re,O,2,-0.0958190430287106,-0.095633606204272,-0.0957263246164913,-0.0957263246164913
Mn-Rh,O,1,-0.0627381822714853,-0.0627381822714853,-0.0627381822714853,-0.0627381822714853
Mn-Sc,O,6,-0.1483679511849748,-0.0185350740921301,-0.09038913211456334,-0.10303285362153135
Mn-Sc,S,1,-0.1683033536113979,-0.1683033536113979,-0.1683033536113979,-0.1683033536113979
Mn-Ta,O,8,-0.2613191249512975,-0.0089622402876112,-0.11893358916867572,-0.10138687014572365
Mn-Tc,O,1,-0.0819297982643207,-0.0819297982643207,-0.0819297982643207,-0.0819297982643207
Mn-Ti,O,22,-0.5482996504240986,-0.0060734070991846,-0.1260007040239162,-0.07986538558557474
Mn-V,O,22,-0.2735121298111647,-0.0094441374567517,-0.11637568478743826,-0.09537958848870129
Mn-W,O,1,-0.0706536730513467,-0.0706536730513467,-0.0706536730513467,-0.0706536730513467
Mn-Y,O,13,-0.2812557716728497,-0.0157778471471322,-0.1110087159180673,-0.1054507124215033
Mn-Y,S,3,-0.1579882877097339,-0.0036863955421461,-0.08922456638356276,-0.1059990158988083
Mn-Zn,O,43,-0.1972240113583781,-0.0119539123455143,-0.08087379607466018,-0.0689732219212189
Mn-Zr,O,1,-0.1760414275559718,-0.1760414275559718,-0.1760414275559718,-0.1760414275559718
Mo-Ni,O,1,-0.010807583790058,-0.010807583790058,-0.010807583790058,-0.010807583790058
Mo-Ti,O,1,-0.0040605100497516,-0.0040605100497516,-0.0040605100497516,-0.0040605100497516
Mo-V,O,1,-0.0260538026869615,-0.0260538026869615,-0.0260538026869615,-0.0260538026869615
Mo-V,S,3,-0.148720402357862,-0.0716508190520358,-0.11287326302570243,-0.1182485676672095
Mo-Y,O,10,-0.3829448779837827,-0.0617954776362834,-0.11675749319838054,-0.08464705234000655
Mo-Zn,O,2,-0.0984152802727453,-0.0936826413046344,-0.09604896078868985,-0.09604896078868985
Mo-Zr,O,1,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739
Mo-Zr,S,1,-0.5950515038733954,-0.5950515038733954,-0.5950515038733954,-0.5950515038733954
Nb-Ni,O,3,-0.6736869076334131,-0.1565895116510073,-0.3744868521919469,-0.2931841372914202
Nb-Ni,S,4,-0.1340037573400173,-0.0832675450008933,-0.10782791266151273,-0.10702017415257015
Nb-Pt,O,1,-0.1823870029823268,-0.1823870029823268,-0.1823870029823268,-0.1823870029823268
Nb-Re,O,1,-0.1528978350759064,-0.1528978350759064,-0.1528978350759064,-0.1528978350759064
Nb-Sc,O,4,-0.3531069211261067,-0.0827903570855751,-0.17820564219079552,-0.13846264527575014
Nb-Ti,O,11,-0.1565836141755127,-0.0561233839544401,-0.09301856315842844,-0.0858401649372925
Nb-Ti,S,2,-0.1004623100644051,-0.0857478063619168,-0.09310505821316095,-0.09310505821316095
Nb-V,O,9,-0.0722530215613188,-0.0170158944772742,-0.05490609337254413,-0.0632000869145424
Nb-V,S,3,-0.1013326852001243,-0.0612305249176932,-0.08009047637870197,-0.0777082190182884
Nb-Y,O,3,-0.1604511228418259,-0.1217897122720004,-0.1360723245013493,-0.1259761383902216
Nb-Zn,S,1,-0.0731411314822143,-0.0731411314822143,-0.0731411314822143,-0.0731411314822143
Nb-Zr,O,2,-0.1808817697430366,-0.0104027734328733,-0.09564227158795495,-0.09564227158795495
Ni-Pt,O,1,-0.0114029069414299,-0.0114029069414299,-0.0114029069414299,-0.0114029069414299
Ni-Rh,O,2,-0.0650446448597352,-0.0616522952404295,-0.06334847005008234,-0.06334847005008234
Ni-Ta,S,2,-0.1189190426495346,-0.0645151223647807,-0.09171708250715765,-0.09171708250715765
Ni-Ti,O,8,-0.5654934752935433,-0.080947919807489,-0.28888011661507557,-0.1723477098427833
Ni-Ti,S,1,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406,-0.0624949924181406
Ni-V,O,5,-0.2387352840327429,-0.1008355522766583,-0.15519861617117164,-0.1420671711803313
Ni-Y,O,9,-0.2354999762185596,-0.0011078427757866,-0.093883857606375,-0.0940104863638291
Ni-Zn,O,37,-0.2214194399903743,-0.0115609499216781,-0.10379525287886701,-0.0828231883225951
Ni-Zr,O,4,-0.5248567787815661,-0.0758376278289203,-0.23594821396428844,-0.17154922462333366
Pd-Rh,S,1,-0.246208325027202,-0.246208325027202,-0.246208325027202,-0.246208325027202
Pd-Ta,S,1,-0.1334791436342682,-0.1334791436342682,-0.1334791436342682,-0.1334791436342682
Pd-Ti,O,1,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476
Pd-Y,O,1,-0.0618063132235266,-0.0618063132235266,-0.0618063132235266,-0.0618063132235266
Pd-Zn,O,1,-0.0014537823365872,-0.0014537823365872,-0.0014537823365872,-0.0014537823365872
Pd-Zr,O,1,-0.615224495228623,-0.615224495228623,-0.615224495228623,-0.615224495228623
Re-Sc,O,2,-0.0828528051499394,-0.0242812845153062,-0.0535670448326228,-0.0535670448326228
Re-Y,O,5,-0.2132729130366108,-0.0840834878985837,-0.1466953115441279,-0.1366415818528415
Re-Zr,O,1,-0.4671945722415485,-0.4671945722415485,-0.4671945722415485,-0.4671945722415485
Rh-Sc,O,2,-0.1775776729703876,-0.1046654221706847,-0.14112154757053613,-0.14112154757053613
Rh-Y,O,1,-0.1266734175360264,-0.1266734175360264,-0.1266734175360264,-0.1266734175360264
Ru-Y,O,1,-0.0801981166946577,-0.0801981166946577,-0.0801981166946577,-0.0801981166946577
Sc-Ta,O,1,-0.087828611959432,-0.087828611959432,-0.087828611959432,-0.087828611959432
Sc-Ti,O,6,-0.4047621105822355,-0.0585259696980869,-0.16067851999425792,-0.115909011159643
Sc-V,O,9,-0.2155931148796214,-0.0950337817835723,-0.1454041051175892,-0.1258340034693289
Sc-Y,O,3,-0.1839347690304086,-0.0574528091625825,-0.1263825092426817,-0.1377599495350541
Sc-Y,S,1,-0.0701736488635591,-0.0701736488635591,-0.0701736488635591,-0.0701736488635591
Sc-Zr,O,7,-0.7656138917983809,-0.1224190822048944,-0.28420598064057556,-0.1756803182702442
Ta-Y,O,12,-0.3284532502194223,-0.0847196247403858,-0.15769053625932816,-0.1186133110664607
Ta-Zn,O,3,-0.0995405697778319,-0.0685232960546182,-0.08574732038736137,-0.089178095329634
Ti-V,O,22,-0.2435766555233249,-0.0542922470262128,-0.0882764848112314,-0.07530424202893475
Ti-V,S,2,-0.0595447188123604,-0.0528381330580146,-0.0561914259351875,-0.0561914259351875
Ti-W,O,1,-0.0608393278510026,-0.0608393278510026,-0.0608393278510026,-0.0608393278510026
Ti-Y,O,15,-0.5275801206245934,-0.0606118817541705,-0.193425483499937,-0.1510836162594833
Ti-Y,S,2,-0.0601561340204611,-0.0158896736564654,-0.03802290383846325,-0.03802290383846325
Ti-Zn,O,22,-0.1987429886151508,-0.0001366604158721,-0.10914949267734353,-0.11761779184749846
Ti-Zn,S,1,-0.1661361134571743,-0.1661361134571743,-0.1661361134571743,-0.1661361134571743
Ti-Zr,O,8,-0.2675109238076715,-0.0425707778275187,-0.12354663191159172,-0.1253132302577486
V-W,O,1,-0.0242898217481393,-0.0242898217481393,-0.0242898217481393,-0.0242898217481393
V-Y,O,16,-0.2671573215251182,-0.0083490521405091,-0.12716340773192825,-0.1207361647430168
V-Zn,O,21,-0.228850776975111,-0.0009746624453963,-0.09925584339038045,-0.0780624144774008
V-Zr,O,8,-1.682540435945942,-0.1121504420890595,-0.3932609506119888,-0.17196129642651892
V-Zr,S,1,-0.5805452630366019,-0.5805452630366019,-0.5805452630366019,-0.5805452630366019
W-Y,O,13,-0.6203389839486121,-0.0769367110832677,-0.14265991613854284,-0.1005868310788977
W-Zr,O,1,-0.4392086670004483,-0.4392086670004483,-0.4392086670004483,-0.4392086670004483
W-Zr,S,1,-0.4246102898898425,-0.4246102898898425,-0.4246102898898425,-0.4246102898898425
Y-Zn,S,1,-0.0780217644925669,-0.0780217644925669,-0.0780217644925669,-0.0780217644925669
Y-Zr,O,17,-0.3597777701864945,-0.0678138474795236,-0.1794250790686455,-0.1372642918784698
Y-Zr,S,2,-0.1132069125631041,-0.0227280074163122,-0.06796745998970816,-0.06796745998970816
