chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal,ligand
Co-O,CoO2_1408926_POSCAR,35,global_gradient_fallback,4.263747824,-0.011828491196755,-0.011380072560768,-0.0004484186359869,4.111471,7.461559,0.00284253,mp-1408926,CoO2,Hexagonal,P6_3/mmc,194,1.279850988333334,0.207418328333332,False,0.0,True,3.595876593569197,6,83.9829320576923,13.997155342948716,21.57535250424064,0.2569016343632703,25.690163436327037,Co,O
Co-S,CoS_1147746_POSCAR,35,global_gradient_fallback,5.07272535,-0.027318187249847,-0.0167113821714296,-0.0106068050784173,4.34805,8.877269,0.00325818,mp-1147746,CoS,Tetragonal,P4/nmm,129,0.084537027916667,-0.375892488906249,False,0.0,True,4.591952859758208,4,65.81341856176692,16.45335464044173,26.45640731101125,0.4019910815935127,40.19910815935128,Co,S
Cr-O,CrO2_1009555_POSCAR,35,global_gradient_fallback,3.7942406246,-0.023156042232855,-0.0175339072044495,-0.0056221350284054,3.356444,7.150684,0.00471663,mp-1009555,CrO2,Cubic,Fm-3m,225,0.192758304999967,-1.854942556666666,False,0.0,True,5.153049976694693,3,27.066846450436824,9.022282150145609,13.658015418418756,0.5046031292721334,50.46031292721334,Cr,O
Cr-S,CrS2_28910_POSCAR,35,global_gradient_fallback,4.4591113225,-0.028990187662117,-0.0244687321049812,-0.0045214555571357,4.128807,8.092461,0.00578285,mp-28910,CrS2,Monoclinic,C2/m,12,0.007822376666666,-0.8613659683333321,False,0.0,True,1.904288981097482,6,202.52380608678035,33.75396768113006,41.89518216523983,0.206865469174957,20.6865469174957,Cr,S
Cu-O,Cu64O_1213626_POSCAR,35,local_max_drop,12.461483594,-0.98919511355384,-0.5410189437570417,-0.4481761697967983,11.126325,21.807596,0.0498214,mp-1213626,Cu64O,Orthorhombic,Amm2,38,0.032106777692306,0.002360372846153,False,0.0,True,8.839841692134591,65,766.9692800985052,11.79952738613085,617.7855999309326,0.8054893669947089,80.54893669947089,Cu,O
Cu-S,Cu9S5_684710_POSCAR,35,local_max_drop,9.0955301419,-0.25064813549698,-0.1708408509662491,-0.0798072845307308,8.121009,15.917178,0.02235338,mp-684710,Cu9S5,Triclinic,P-1,2,0.049669751116072,-0.177552687165178,False,0.0,True,5.855300080088663,28,415.3199489294472,14.832855318908829,221.90398434315705,0.5342964741162799,53.42964741162799,Cu,S
Fe-O,FeO2_1384466_POSCAR,35,global_gradient_fallback,3.753261512,-0.01549904505522,-0.0149781558095298,-0.0005208892456901,3.464549,7.073454,0.00360775,mp-1384466,FeO2,Hexagonal,P6_3/mmc,194,0.319957769166667,-1.102618358333333,False,0.0,True,3.937112881224476,6,74.09899918931325,12.349833198218874,24.08520857430537,0.3250409430331281,32.50409430331281,Fe,O
Fe-S,Fe4S5_850249_POSCAR,35,global_gradient_fallback,11.385239659,-0.062532324999169,-0.0486718266673354,-0.0138604983318336,9.422267,19.237129,0.00440505,mp-850249,Fe4S5,Monoclinic,P2,3,0.061710484999999,-0.7257425258333321,False,0.0,True,2.023970641848148,18,629.6110520483845,34.978391780465806,125.56315004593566,0.1994297108308803,19.942971083088032,Fe,S
Hf-O,HfO2_775757_POSCAR,35,local_max_drop,14.6359104575,-0.14417780614424,-0.0718719526775766,-0.0723058534666633,12.617164,24.729642,0.00545209,mp-775757,HfO2,Orthorhombic,Pbca,61,0.00992863875,-4.00988240208333,False,4.1083,False,10.2455682122362,24,272.9179042031612,11.37157934179838,198.86254688966065,0.7286533562914458,72.86533562914458,Hf,O
Hf-S,Hf2S_10000_POSCAR,35,global_gradient_fallback,4.723983656,-0.085910314598284,-0.051608860657884,-0.0343014539403999,4.386556,8.266971,0.0125666,mp-10000,Hf2S,Hexagonal,P6_3/mmc,194,0.0,-1.171399257604169,True,0.0,True,11.182943515494184,6,115.5374557383108,19.2562426230518,99.49528653673994,0.8611517875388746,86.11517875388745,Hf,S
Mn-O,MnO2_796077_POSCAR,35,global_gradient_fallback,4.3792721287,-0.0079198125959574,-0.0062315314199263,-0.001688281176031,4.087321,7.152811,0.00151545,mp-796077,MnO2,Triclinic,P-1,2,1.491007171388889,-0.331520752643678,False,0.0,True,4.089556024082555,3,35.300171076925835,11.766723692308611,13.658015418418756,0.3869107429721891,38.69107429721891,Mn,O
Mn-S,MnS_2562_POSCAR,35,global_gradient_fallback,5.139650191,-0.028879833789477,-0.0230578935360436,-0.0058219402534333,4.348935,9.686264,0.00459024,mp-2562,MnS,Hexagonal,P6_3mc,186,0.014528515,-1.125830218647628,False,0.0,True,3.36542574685967,4,85.85656968526325,21.464142421315813,32.19708564360813,0.3750101566093033,37.50101566093033,Mn,S
Mo-O,Mo4O5_543061_POSCAR,35,local_max_drop,8.4220595164,-0.26802953127154,-0.1496095352769678,-0.1184199959945722,6.617332,14.738604,0.02009155,mp-543061,Mo4O5,Tetragonal,I4_1md,109,0.6811400525,-1.003489271111111,False,0.0,True,6.336928520439955,36,486.09455773154417,13.502626603654004,268.86229127020863,0.553106976809013,55.3106976809013,Mo,O
Mo-S,Mo7S8_673645_POSCAR,35,local_max_drop,9.3130183255,-0.23571454026172,-0.169730865990242,-0.065983674271478,8.670741,15.73579,0.02250454,mp-673645,Mo7S8,Triclinic,P1,1,0.123421140333334,-0.649492895833333,False,0.0,True,5.689602949477235,30,541.741250453034,18.0580416817678,291.76471953196886,0.5385684019593838,53.85684019593838,Mo,S
Nb-O,NbO_2692_POSCAR,35,global_gradient_fallback,3.8674471775,-0.034907424766081,-0.0330348506596542,-0.0018725741064267,2.20997,6.768033,0.01062316,mp-2692,NbO,Cubic,Fm-3m,225,0.788760408333331,-1.498900522500001,False,0.0,True,7.879848251723329,2,22.94997264340967,11.474986321704836,19.68077944977657,0.8575513250307997,85.75513250307996,Nb,O
Nb-S,NbS6_1210578_POSCAR,35,global_gradient_fallback,13.880345081,-0.0045492506463924,-0.0044740318397704,-7.521880662195515e-05,7.658121,23.452997,0.00029141,mp-1210578,NbS6,Orthorhombic,Cmmm,65,1.340910320119047,0.6840770935714291,False,0.063299999999999,False,0.119391818298794,7,3967.9920422044192,566.8560060292027,47.57080858595638,0.011988635077889,1.1988635077889018,Nb,S
Ni-O,NiO2_25206_POSCAR,35,global_gradient_fallback,4.8116805846,-0.0060349459428738,-0.0059958158333035,-3.9130109570294745e-05,4.441551,9.068167,0.00108593,mp-25206,NiO2,Orthorhombic,Immm,71,0.5811151294444451,-0.233023813333332,False,0.017399999999999,False,3.457241212419814,3,43.56014858035402,14.520049526784671,10.394968792841183,0.238634833250532,23.86348332505321,Ni,O
Ni-S,Ni3S_976809_POSCAR,35,global_gradient_fallback,4.1628102785,-0.085338254918087,-0.0824589975977662,-0.0028792573203207,2.561729,7.845296,0.02056479,mp-976809,Ni3S,Tetragonal,I4/mmm,139,0.378431593750001,0.021274810624999,False,0.0,True,7.778838851853417,4,44.43249725577227,11.108124313943067,28.808392067047787,0.6483631091274138,64.83631091274138,Ni,S
Pd-O,PdO_10728_POSCAR,35,global_gradient_fallback,3.3412299101,-0.034104126289319,-0.034041896438264,-6.222985105498041e-05,2.227487,6.821678,0.00948242,mp-10728,PdO,Cubic,Fm-3m,225,0.4492849925,-0.340541412499999,False,0.0,True,8.650294485871516,2,23.5000318219061,11.75001591095305,12.453754989703487,0.5299463032256165,52.994630322561655,Pd,O
Pd-S,Pd3S_558378_POSCAR,35,local_max_drop,5.919125043,-0.15752797080641,-0.0871319652327951,-0.0703960055736149,5.463808,11.155274,0.01515258,mp-558378,Pd3S,Orthorhombic,Cmcm,63,0.0,-0.262081896953123,True,0.0,True,9.224573992911775,8,126.4858168756918,15.810727109461476,77.19506388756102,0.6103060864399292,61.03060864399292,Pd,S
Rh-O,Rh2O3_1189664_POSCAR,35,local_max_drop,3.75801795,-0.17160266370137,-0.090013312894376,-0.081589350806994,3.201275,6.820107,0.02547567,mp-1189664,Rh2O3,Orthorhombic,Pnma,62,0.298614513499998,-0.798444742,False,0.0,True,7.184581499400283,20,234.64698234555385,11.73234911727769,110.40082696764256,0.4704975357622982,47.04975357622983,Rh,O
Rh-S,Rh17S15_21991_POSCAR,35,local_max_drop,13.9242096,-0.72864553689384,-0.4742183635684136,-0.2544271733254264,12.929623,24.367367,0.03972198,mp-21991,Rh17S15,Cubic,Pm-3m,221,0.0,-0.541647407412106,True,0.0,True,7.528841716620978,64,983.8469625381532,15.372608789658644,553.2576805724774,0.5623411990266954,56.23411990266954,Rh,S
Sc-O,ScO3_1186987_POSCAR,35,global_gradient_fallback,6.115019456,-0.048810108393497,-0.0220340696908245,-0.0267760387026724,5.678232,10.701284,0.00396191,mp-1186987,ScO3,Hexagonal,P6_3/mmc,194,0.6929377642187491,-1.787520136249999,False,0.0,True,4.105059039329238,8,75.20180983337639,9.400226229172048,48.38461512452266,0.6433969505750964,64.33969505750964,Sc,O
Sc-S,Sc2S3_1105836_POSCAR,35,local_max_drop,8.67482,-0.13466562799008,-0.069980364501346,-0.0646852634887339,8.05519,15.180935,0.00891883,mp-1105836,Sc2S3,Orthorhombic,Pnma,62,0.093005298999999,-2.078628673687498,False,1.3929,False,3.092459446386907,20,399.73057971565817,19.986528985782908,222.82478933871428,0.5574374357278772,55.74374357278772,Sc,S
Ta-O,TaO2_510_POSCAR,35,local_max_drop,14.774155769,-0.22338728687536,-0.165154767070598,-0.0582325198047619,14.264702,24.963229,0.01321108,mp-510,TaO2,Tetragonal,I4_1/a,88,0.068790372052777,-3.054668550569444,False,0.4284,False,9.831712364160078,48,575.4542339814828,11.988629874614226,367.8087541367368,0.6391624779470686,63.91624779470686,Ta,O
Ta-S,TaS2_1217915_POSCAR,35,global_gradient_fallback,4.675236958,-0.023141356180569,-0.0219832602597335,-0.0011580959208354,4.508264,8.181665,0.00513697,mp-1217915,TaS2,Orthorhombic,Cmcm,63,0.017533103333329,-1.363540545777777,False,0.0,True,3.588610116693385,6,226.8072496022327,37.80120826703878,60.55524559549446,0.2669899031080105,26.69899031080105,Ta,S
Tc-O,Tc2O7_27485_POSCAR,35,local_max_drop,4.687697691,-0.37474705355392,-0.2569173906437315,-0.1178296629101884,4.411951,13.511599,0.0271782,mp-27485,Tc2O7,Orthorhombic,Pbca,61,0.0,-1.799278561388888,True,2.6664,False,3.708062960045716,36,551.7048267620728,15.325134076724243,140.16559942545692,0.2540590414045887,25.405904140458876,Tc,O
Ti-O,TiO2_1445035_POSCAR,35,global_gradient_fallback,4.995984048,-0.010025564397064,-0.0086718091235431,-0.0013537552735208,4.651433,8.44149,0.00183377,mp-1445035,TiO2,Hexagonal,P6_3/mmc,194,2.7445488075,-0.763506644444444,False,0.0,True,2.355580094225261,6,112.60095248000432,18.76682541333405,39.13161107247118,0.3475246897171689,34.75246897171689,Ti,O
Ti-S,TiS2_1062030_POSCAR,35,global_gradient_fallback,4.7809958742,-0.014123817307301,-0.0079471195741287,-0.0061766977331722,4.439496,8.366743,0.00166025,mp-1062030,TiS2,Monoclinic,C2/m,12,0.003540926666667,-1.603972986111109,False,0.051099999999999,False,1.633573734481817,3,113.84572943344102,37.94857647781368,26.85538120043675,0.2358927412919562,23.589274129195623,Ti,S
V-O,VO2_1420871_POSCAR,35,global_gradient_fallback,4.2430864282,-0.013736790580653,-0.0117039911257443,-0.0020327994549086,2.341013,7.169353,0.00330027,mp-1420871,VO2,Trigonal,R-3m,166,0.307593889999983,-2.214874286666668,False,0.0,True,2.563009623267051,3,53.735891952075775,17.91196398402526,17.410995512718763,0.3240105426787503,32.401054267875026,V,O
V-S,VS2_611224_POSCAR,35,global_gradient_fallback,3.6970137637,-0.012723441122082,-0.012222239667271,-0.0005012014548109,2.039732,6.246678,0.00393339,mp-611224,VS2,Triclinic,P1,1,2.2572998933333333,1.056313655,False,0.0,True,1.409588853833271,3,135.55776947788613,45.18592315929538,24.70057117691992,0.1822143523905458,18.221435239054586,V,S
Y-O,Y2O3_13061_POSCAR,35,global_gradient_fallback,5.117971124,-0.037764812681151,-0.0364242219339465,-0.0013405907472044,4.935186,8.956449,0.00844952,mp-13061,Y2O3,Trigonal,P-3m1,164,0.057234046250002,-3.896637876499996,False,4.083600000000001,False,5.546597092739123,5,67.60292017546927,13.520584035093853,61.07460531540549,0.9034314665236508,90.34314665236506,Y,O
Y-S,YS_22562_POSCAR,35,global_gradient_fallback,5.2635924967,-0.042289261311805,-0.0240505045135409,-0.018238756798264,4.887622,9.211287,0.0053422,mp-22562,YS,Tetragonal,I4/mmm,139,0.206838924999999,-2.035623006406251,False,0.0,True,2.582487218430344,4,155.56849302200277,38.89212325550069,67.15992055089139,0.4317064416211363,43.17064416211363,Y,S
Zn-O,ZnO_997630_POSCAR,35,local_max_drop,3.8193468875,-0.26250185075305,-0.1488634922327437,-0.1136383585203062,3.513799,7.48592,0.03769286,mp-997630,ZnO,Hexagonal,P6_3/mmc,194,0.173243653333332,-1.617655459166667,False,0.5425999999999991,False,6.597744974458736,24,245.86914945500465,10.244547893958526,105.72560093395477,0.4300075921208777,43.00075921208777,Zn,O
Zn-S,ZnS_1196782_POSCAR,35,local_max_drop,5.0331996893,-0.20418668455095,-0.1450779911896333,-0.0591086933613166,4.839615,9.485646,0.02932949,mp-1196782,ZnS,Trigonal,R3m,160,0.011916026190476,-0.95078232343006,False,1.986399999999999,False,3.979843096537789,36,732.0562295580811,20.33489526550225,224.1945823787422,0.3062532266327155,30.625322663271547,Zn,S
Zr-O,ZrO_33088_POSCAR,35,global_gradient_fallback,4.3094666666,-0.02602060110828,-0.0220163003379582,-0.0040043007703217,2.462552,7.541567,0.00631051,mp-33088,ZrO,Cubic,F-43m,216,0.424779198749998,-2.4818551725,False,0.0,True,5.60736845212293,2,31.752620841957857,15.876310420978928,23.65355793249233,0.7449324592833786,74.49324592833786,Zr,O
Zr-S,Zr3S_1188005_POSCAR,35,local_max_drop,6.19385045,-0.082180086771927,-0.0244702647680755,-0.0577098220038514,5.339526,10.465471,0.00419812,mp-1188005,Zr3S,Cubic,Pm-3m,221,0.615779533374999,-0.338658789375,False,0.0,True,6.513568106794313,4,77.9431832570406,19.48579581426015,72.19694077214703,0.9262765229135737,92.62765229135736,Zr,S
